subject;chapter;subchapter;question;options;correct_answer
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What is the significance of a keyword in C programming?";""It has a special meaning in the language and cannot be used as an identifier."; "It is used to declare constants."; "It is a type of data."; "It represents a specific memory location."";"It has a special meaning in the language and cannot be used as an identifier."
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is a valid way to declare a variable in C?";""int x;"; "x = 5;"; "integer x;"; "variable x;"";"int x;"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What is the correct way to declare multiple variables of the same data type in C?";""int a, b, c;"; "a, b, c int;"; "int a; b; c;"; "var a, b, c;"";"int a, b, c;"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is not a valid data type in C?";""short float"; "long double"; "unsigned int"; "double"";"short float"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What is the significance of data types in C programming?";""They determine the size and type of values that a variable can hold."; "They define the color of text in the console."; "They are used for mathematical calculations."; "They control the flow of program execution."";"They determine the size and type of values that a variable can hold."
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is a valid way to initialize a variable in C?";""int x = 5;"; "x = 5;"; "x int = 5;"; "variable x = 5;"";"int x = 5;"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What is the purpose of variable declaration in C?";""It assigns a value to a variable."; "It reserves memory space for a variable."; "It determines the data type of a variable."; "It performs a mathematical operation."";"It reserves memory space for a variable."
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is a valid way to name a variable in C?";""myVariable%"; "myVariable_"; "my Variable"; "123myVariable"";"myVariable_"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What is the correct way to declare a constant in C?";""const PI = 3.14;"; "constant PI = 3.14;"; "#define PI 3.14"; "PI = 3.14;"";"#define PI 3.14"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What is the purpose of assigning an initial value to a variable in C?";""It helps in memory allocation."; "It defines the data type of the variable."; "It initializes the variable with a specific value."; "It specifies the size of the variable."";"It initializes the variable with a specific value."
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is a valid way to comment out a line in C?";""/* This is a comment */"; "' This is a comment '"; "// This is a comment"; "# This is a comment"";"// This is a comment"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is a valid constant in C?";""MAX-VALUE"; "3.14"; "myConstant"; "int"";"3.14"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is a valid variable name in C?";""first-name"; "totalValue$"; "_result"; "constant"";"_result"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What is the maximum length of a variable name in C?";""15 characters"; "63 characters"; "128 characters"; "There is no specific limit."";"128 characters"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is not a valid way to declare a variable in C?";""int x, y, z;"; "float myVariable;"; "variable int x;"; "double myVar;"";"variable int x;"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What is the significance of data types in C programming?";""They determine the color of text in the console."; "They define the size and type of values that a variable can hold."; "They are used for defining constants."; "They control the flow of program execution."";"They define the size and type of values that a variable can hold."
"Programming in C";"Fundamentals of C";"Symbolic constant with example.Basic Input/Output:-Input and Output statements using printf ()and scanf(),Character Input/Output statements using getchar() and putchar(),formatted input and formatted output";"What is a symbolic constant in C?";""A) A constant with a meaningful name."; "B) A variable that can change its value."; "C) A constant with a numerical value."; "D) A reserved keyword in C."";"A) A constant with a meaningful name."
